Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,SEO Title,SEO Description
m-triac,M TRIAC,"<p>M TRIAC is a natural plant growth promoter with Triacontanol 0.1% EC that enhances photosynthesis, nutrient use efficiency, and stress tolerance in ginger, vegetables, spices, and plantation crops. It promotes cell elongation, tillering, rooting, and improves flowering, fruit set, and grain filling. Suitable for drip and foliar application with low dose–high performance economics. Compatible with biofertilizers and organic inputs; avoid strong chemical mixes without a jar test. Morbeez M TRIAC supports crop vigor, improves nutrient uptake, and helps increase yield and quality across all growing conditions.</p><ul><li>promotes natural plant growth</li><li>enhances photosynthesis</li><li>improves nutrient use efficiency</li><li>increases tillering and rooting</li><li>improves flowering and fruit set</li><li>enhances abiotic stress tolerance</li><li>low dose high performance</li><li>organic farming compatible</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application</p><p><strong>Dosage (200 L):</strong> 200–400 ml per 200 L water (foliar at 1–2 ml/L); drip 1–2 L/acre</p>",Morbeez,Plant Growth Regulators,"M TRIAC, Triacontanol 0.1% EC, plant growth regulator, PGR, bio stimulant, photosynthesis enhancer, yield booster, Morbeez, foliar spray, drip irrigation",TRUE,Size,500 ml,m-triac-500ml,318,100,M TRIAC,"M TRIAC is a natural plant growth promoter with Triacontanol 0.1% EC that enhances photosynthesis, nutrient use efficiency, and stress tolerance in ginger, vegetables, spices, and plantation crops. It promotes cell elongation, tillering, rooting, and improves flowering, fruit set, and grain filling. Suitable for drip a"
m-triac,,,,,,,Size,1 L,m-triac-1l,549,100,,
m-triac,,,,,,,Size,5 L,m-triac-5l,2278,100,,
m-triac,,,,,,,Size,10 L,m-triac-10l,4255,100,,
m-triac,,,,,,,Size,25 L,m-triac-25l,9443,100,,
m-nema,M NEMA,"<p>M NEMA is an advanced biological nematicide with Paecilomyces lilacinus that suppresses root-knot and lesion nematodes by parasitizing eggs and reducing soil populations. It protects the root zone, improves root health and nutrient uptake, and enhances plant vigor and yield without harmful residues. Suitable for soil application, drip irrigation, and foliar spray in ginger, banana, pepper, cardamom, vegetables, and plantation crops. Eco-friendly and compatible with biofertilizers; avoid mixing with strong chemical fertilizers and pesticides. Morbeez M NEMA improves soil health in the rhizosphere and supports sustainable nematode management programs.</p><ul><li>suppresses root-knot nematodes</li><li>parasitizes nematode eggs</li><li>protects root zone</li><li>improves root health</li><li>enhances nutrient uptake</li><li>eco-friendly residue-free</li><li>compatible with organic farming</li><li>long-lasting rhizosphere protection</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, foliar spray, drenching</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Bio Pesticides,"M NEMA, Paecilomyces lilacinus, biological nematicide, nematode control, root health, bio pesticide, Morbeez, organic farming",TRUE,Size,500 ml,m-nema-500ml,376,100,M NEMA,"M NEMA is an advanced biological nematicide with Paecilomyces lilacinus that suppresses root-knot and lesion nematodes by parasitizing eggs and reducing soil populations. It protects the root zone, improves root health and nutrient uptake, and enhances plant vigor and yield without harmful residues. Suitable for soil a"
m-nema,,,,,,,Size,1 L,m-nema-1l,649,100,,
m-nema,,,,,,,Size,5 L,m-nema-5l,2693,100,,
m-nema,,,,,,,Size,10 L,m-nema-10l,5030,100,,
m-nema,,,,,,,Size,25 L,m-nema-25l,11163,100,,
m-sea,M SEA,"<p>M SEA is a premium seaweed extract liquid with Ascophyllum nodosum (20% w/v), organic carbon, mannitol, and alginate that improves plant vigor, stress resilience, and yield quality. It stimulates root growth for better absorption, improves flower initiation and fruit development, and enhances nutrient uptake efficiency. Suitable for drought, heat, and salinity stress management in paddy, fruits, vegetables, and spices. Use via soil application, drip, or foliar spray; compatible with bio inputs. Morbeez M SEA is 100% natural, residue-free, and ideal for drip and foliar programs seeking faster crop response and higher productivity.</p><ul><li>improves plant vigor</li><li>enhances stress tolerance</li><li>stimulates root growth</li><li>improves flowering and fruit set</li><li>increases yield and shelf life</li><li>natural marine bioactives</li><li>quick absorption</li><li>eco-friendly residue-free</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application, fertigation</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Organic Inputs,"M SEA, seaweed extract, Ascophyllum nodosum, bio stimulant, stress reliever, organic input, Morbeez, foliar spray",TRUE,Size,500 ml,m-sea-500ml,347,100,M SEA,"M SEA is a premium seaweed extract liquid with Ascophyllum nodosum (20% w/v), organic carbon, mannitol, and alginate that improves plant vigor, stress resilience, and yield quality. It stimulates root growth for better absorption, improves flower initiation and fruit development, and enhances nutrient uptake efficiency"
m-sea,,,,,,,Size,1 L,m-sea-1l,599,100,,
m-sea,,,,,,,Size,5 L,m-sea-5l,2486,100,,
